Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,From Hours In Effect,To Hours In Effect,Vehicle Color,Vehicle Year,Meter Number,Violation Post Code,Violation Description
GPY8824,NY,PAS,12/13/2016,71,4DSD,HONDA,0612P,R,,,RED,2015,,02-P,71A-Insp Sticker Expired (NYS)
HKH6088,NY,PAS,12/20/2016,70,SUBN,TOYOT,0143P,BX,,,BK,2012,,31 2,70A-Reg. Sticker Expired (NYS)
T700191C,NY,OMT,12/16/2016,89,SUBN,GMC,1045A,K,ALL,ALL,BLACK,2015,-,,
T711289C,NY,OMT,12/10/2016,40,SUBN,TOYOT,0221A,Q,,,BK,2016,,C 42,40-Fire Hydrant
T685816C,NY,OMT,12/27/2016,21,4DSD,TOYOT,1139A,Q,1130A,0100P,BK,2015,,30 4,21-No Parking (street clean)
T712132C,NY,OMT,12/31/2016,21,4DSD,TOYOT,0754A,Q,0730A,0800A,BK,2016,,A 42,21-No Parking (street clean)
GRM5381,NY,PAS,12/24/2016,14,4DSD,FORD,0415P,NY,0400P,0700P,GY,2014,,01 6,14-No Standing
GTD2874,NY,PAS,12/4/2016,71,SUBN,MAZDA,1127A,NY,,,GY,2015,,01 7,71A-Insp Sticker Expired (NYS)
GEK6150,NY,PAS,12/15/2016,36,4DSD,TOYOT,0901A,BK,,,WH,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
EVV7284,NY,PAS,12/9/2016,36,4DSD,ACURA,0214P,BX,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HKT9010,NY,PAS,12/3/2016,20,SUBN,JEEP,0945P,BX,,,BLACK,2013,,I 21,20A-No Parking (Non-COM)
BRX1409,NY,PAS,12/15/2016,21,4DSD,VOLKS,0912A,K,0900A,1030A,BK,2016,,05 3,21-No Parking (street clean)
AU8408,NY,PSD,12/22/2016,7,DUMP,MACK,0843P,QN,,,WH,2012,,,FAILURE TO STOP AT RED LIGHT
MED,NY,PAS,12/20/2016,38,SDN,BMW,0608A,NY,ALL,ALL,WHITE,2014,-,,
2Y97H,NY,OMT,12/7/2016,37,TAXI,TOYOT,0531P,Q,0800A,0700P,YW,2015,441-3095,41 4,37-Expired Muni Meter
HCW6647,NY,PAS,12/13/2016,71,SUBN,SUBAR,0824A,K,,,GY,2013,,T 31,71A-Insp Sticker Expired (NYS)
HGR6882,NY,PAS,12/22/2016,21,4DSD,NISSA,0857A,BX,0830A,1000A,RED,2013,,B 21,21-No Parking (street clean)
GKC4882,NY,PAS,12/6/2016,36,4DSD,LEXUS,0150P,ST,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
D38FBF,NJ,PAS,12/19/2016,36,WAGO,CHRYS,1055A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
EAE6897,NY,PAS,12/8/2016,24,SUBN,TOYOT,0935A,K,0800A,0800P,GY,2015,,03 3,24-No Parking (exc auth veh)
HME3944,NY,PAS,12/14/2016,20,4DSD,TOYOT,1138A,BX,0700A,0600P,OTHER,2016,,40 2,20A-No Parking (Non-COM)
FSG2625,NY,PAS,12/27/2016,14,SUBN,TOYOT,0457P,Q,0400P,0700P,BK,2016,,F 42,14-No Standing
DUJ3900,NY,PAS,12/27/2016,14,SUBN,HONDA,0446P,K,0400P,0700P,BR,2015,,L 32,14-No Standing
RTZ29Z,NJ,PAS,12/15/2016,7,4 DR,ME/BE,0827P,BK,,,SL,2015,,,FAILURE TO STOP AT RED LIGHT
HCR1052,TX,PAS,12/7/2016,36,4D,KIA,0116P,QN,,,,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
GSV6042,NY,PAS,12/19/2016,70,SUBN,TOYOT,1036A,R,,,BK,2015,,05-A,70A-Reg. Sticker Expired (NYS)
T684864C,NY,OMT,12/16/2016,20,SUBN,TOYOT,0705A,BX,,,BLACK,2015,,B 62,20A-No Parking (Non-COM)
HAP1923,NY,PAS,12/24/2016,71,4DSD,VOLKS,1150A,Q,,,BK,2015,,28-A,71A-Insp Sticker Expired (NYS)
GBU6493,NY,PAS,12/13/2016,14,4DSD,HYUND,1150P,BX,,,BK,2012,,A 21,14-No Standing
HEG8695,NY,PAS,12/30/2016,21,4DSD,HYUND,1020A,K,0930A,1100A,BK,2016,,40 3,21-No Parking (street clean)
35216MB,NY,COM,12/7/2016,46,DELV,FRUEH,0205P,NY,ALL,ALL,BROWN,2012,-,,
FXB4390,NY,PAS,12/12/2016,14,4DSD,HYUND,0228P,K,,,BL,2015,,08 3,14-No Standing
GVG5820,NY,PAS,12/20/2016,21,SUBN,VOLKS,1147A,K,1130A,0100P,BK,2015,,06 3,21-No Parking (street clean)
FSW6308,NY,PAS,12/27/2016,21,4DSD,HONDA,0955A,K,0930A,1100A,BLACK,2015,,55 3,21-No Parking (street clean)
AHX5721,NY,PAS,12/13/2016,36,SUBN,SUBAR,1115A,BX,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
T693189C,NY,OMT,12/16/2016,36,4DSD,TOYOT,0844A,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
T638219C,NY,OMT,12/23/2016,5,4DSD,TOYOT,0520P,BX,,,BK,2014,,,BUS LANE VIOLATION
HJX9984,NY,PAS,12/13/2016,21,4DSD,LINCO,1117A,K,1100A,1230A,RD,2012,,11 3,21-No Parking (street clean)
61145MC,NY,COM,12/9/2016,14,VAN,CHEVR,1228P,BX,ALL,ALL,WH,2012,-,,
JAZZFUSE,NY,SRF,12/9/2016,21,SUBN,MAZDA,0946A,BX,0930A,1100A,GY,2016,,B 21,21-No Parking (street clean)
GF258R,NY,PAS,12/15/2016,37,PICK,TOYOT,1143A,K,0830A,0700P,GY,2012,310-3049,40 3,37-Expired Muni Meter
GDL9839,NY,PAS,12/9/2016,36,SUBN,ME/BE,1129A,ST,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HDW3202,NY,PAS,12/13/2016,36,4DSD,NISSA,0827A,ST,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HHJ4446,NY,PAS,12/13/2016,7,SUBN,GMC,0512P,QN,,,BK,2016,,,FAILURE TO STOP AT RED LIGHT
CWK1202,NY,PAS,12/12/2016,20,4DSD,AUDI,1149A,K,0700A,0400P,BK,2014,,06 3,20A-No Parking (Non-COM)
HFW6739,NY,PAS,12/13/2016,21,SUBN,TOYOT,1114A,K,1100A,1230A,BLUE,2016,,14 3,21-No Parking (street clean)
GHF2877,NY,PAS,12/6/2016,40,SUBN,AUDI,1118P,K,,,BLACK,2013,,K 31,40-Fire Hydrant
GXP3410,NY,OMS,12/13/2016,38,SUBN,DODGE,0210P,Q,0800A,0700P,GY,2016,,20 4,38-Failure to Display Muni Rec
GFP5700,NY,PAS,12/22/2016,20,SUBN,ME/BE,0113A,K,ALL,ALL,GY,2014,-,,
T704700C,NY,OMT,12/12/2016,36,4DSD,NISSA,0226P,BX,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
KCD2985,PA,PAS,12/18/2016,7,SDN,HONDA,0547P,BX,,,,2013,,,FAILURE TO STOP AT RED LIGHT
HJJ6147,NY,PAS,12/9/2016,14,4DSD,VOLKS,0420P,Q,0400P,0700P,RD,2012,,F 41,14-No Standing
HGZ4434,NY,PAS,12/1/2016,36,SUBN,CHRYS,1232P,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
FFT6448,NY,PAS,12/5/2016,20,SUBN,ROVER,0303P,K,0800A,0400P,WH,2014,,W 32,20A-No Parking (Non-COM)
HKR7009,NY,PAS,12/2/2016,7,PICK,CHEVR,1133A,QN,,,BK,2016,,,FAILURE TO STOP AT RED LIGHT
GDV2623,NY,PAS,12/22/2016,21,4DSD,HYUND,0739A,K,0730A,0800A,BK,2015,,J 32,21-No Parking (street clean)
HAP9686,NY,PAS,12/13/2016,38,SUBN,JEEP,0124P,K,0900A,0700P,WH,2015,,01 3,38-Failure to Display Muni Rec
GUG7491,NY,PAS,12/29/2016,37,PICK,DODGE,0422P,Q,0830A,0700P,BK,2013,441-3068,12 4,37-Expired Muni Meter
GPJ9665,NY,PAS,12/9/2016,21,SUBN,JEEP,1130A,K,1100A,1230A,BK,2014,,CC2,21-No Parking (street clean)
GZZ7276,NY,PAS,12/22/2016,36,SUBN,CHEVR,0908A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GWF5897,NY,PAS,12/1/2016,7,SUBN,LEXUS,0500A,QN,,,WH,2015,,,FAILURE TO STOP AT RED LIGHT
DYY3317,NY,PAS,12/10/2016,21,4DSD,BMW,0814A,NY,0800A,0830A,BK,2015,,B 77,21-No Parking (street clean)
JLV6081,PA,PAS,12/7/2016,36,SW,CADIL,0104P,BK,,,,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GPX5465,NY,PAS,12/3/2016,14,SUBN,BMW,0415P,NY,,,WH,2016,,23 7,14-No Standing
41748JS,NY,COM,12/5/2016,42,REFG,ISUZU,1156A,NY,0600A,0700P,WH,2013,144-3008,01 6,42-Exp. Muni-Mtr (Com. Mtr. Z)
46837MJ,NY,COM,12/5/2016,19,VAN,FRUEH,1049A,Q,,,BROWN,2016,,11 4,19-No Stand (bus stop)
DHE9391,NY,PAS,12/28/2016,38,SUBN,TOYOT,0535P,K,0800A,0700P,GREY,2012,,49 3,38-Failure to Display Muni Rec
GEK2884,99,PAS,12/11/2016,74,SDN,NISSA,0520A,K,ALL,ALL,BLK,2013,-,,
HDX7654,NY,PAS,12/12/2016,38,SUBN,VOLVO,0448P,K,0900A,0700P,BL,2016,,01 3,38-Failure to Display Muni Rec
T705071C,NY,OMT,12/1/2016,5,SUBN,CHEVR,0717A,MN,,,BK,2016,,,BUS LANE VIOLATION
56409MJ,NY,COM,12/20/2016,82,VAN,ISUZU,1255P,NY,,,WH,2015,,C 77,82-Unaltered Commerc Vehicle
GCM4084,NY,PAS,12/1/2016,70,4DSD,ME/BE,0102P,K,,,GY,2016,,19 3,70A-Reg. Sticker Expired (NYS)
EFH8101,NY,PAS,12/22/2016,36,SUBN,HONDA,1247P,QN,,,WH,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
13957TT,NY,TOW,12/27/2016,21,TOW,FORD,0944A,NY,0900A,1030A,WH,2016,,14 7,21-No Parking (street clean)
HLM9728,NY,PAS,12/20/2016,70,4DSD,HONDA,0214P,NY,,,BLACK,2016,,11 7,70A-Reg. Sticker Expired (NYS)
FBC8582,NY,PAS,12/3/2016,7,SUBN,DODGE,0659A,QN,,,BK,2012,,,FAILURE TO STOP AT RED LIGHT
28512MH,NY,COM,12/15/2016,19,VAN,FRUEH,1055A,NY,ALL,ALL,BROWN,2015,-,,
HAL6730,NY,PAS,12/8/2016,17,SDN,TOYOT,0952A,K,0700A,0700P,BK,2016,-,,
HLF3394,NY,PAS,12/21/2016,36,4DSD,BMW,0108P,BK,,,BK,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
60987MC,NY,COM,12/13/2016,69,VAN,CHEVR,1258P,NY,1000A,0400P,WHITE,2012,,11 6,69-Failure to Disp Muni Recpt
