Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,From Hours In Effect,To Hours In Effect,Vehicle Color,Vehicle Year,Meter Number,Violation Post Code,Violation Description
GJJ5535,NY,PAS,12/14/2016,21,SUBN,INFIN,1209P,K,1130A,0100P,WH,2016,,W 32,21-No Parking (street clean)
GGP6361,NY,PAS,12/30/2016,20,4DSD,CHEVR,0129P,K,,,WH,2016,,02 3,20A-No Parking (Non-COM)
38087MH,NY,COM,12/28/2016,37,VAN,FORD,0315P,K,0800A,0700P,WHITE,2015,307-3087,06 3,37-Expired Muni Meter
HHT6877,NY,PAS,12/13/2016,36,4DSD,KIA,0301P,QN,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HBW8323,NY,PAS,12/9/2016,36,SUBN,BUICK,0758A,QN,,,BR,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
GSW7870,NY,PAS,12/20/2016,36,2DSD,SMART,1223P,BK,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GLB8227,NY,PAS,12/29/2016,71,SUBN,HONDA,1104A,K,,,BK,2016,,02 3,71A-Insp Sticker Expired (NYS)
GJS2138,NY,PAS,12/1/2016,51,SUBN,FORD,0351P,Q,,,BK,2016,,V 42,51-Sidewalk
34067MG,NY,COM,12/28/2016,38,VAN,FORD,0234P,K,0900A,0700P,WH,2014,,21 3,38-Failure to Display Muni Rec
FZA5486,NY,PAS,12/8/2016,39,SUBN,TOYOT,0108P,NY,1000A,0700P,GY,2015,,25 1,39-Overtime PKG-Time Limt Post
79621MD,NY,COM,12/24/2016,38,VAN,FORD,0207P,NY,0900A,0700P,WH,2013,,30 7,38-Failure to Display Muni Rec
T715479C,NY,OMT,12/2/2016,36,4DSD,HONDA,0132P,BX,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GMK4308,NY,PAS,12/28/2016,37,SUBN,VOLKS,1209P,K,0830A,0700P,BK,2014,302-9359,59 3,37-Expired Muni Meter
1E20B,NY,OMT,12/23/2016,50,TAXI,TOYOT,0941A,NY,,,YW,2015,,11 6,50-Crosswalk
V81FKP,NJ,PAS,12/13/2016,36,4 DR,MAZDA,1258P,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
90108MH,NY,COM,12/24/2016,37,PICK,DODGE,0229P,Q,0830A,0700P,BK,2016,420-3004,36 4,37-Expired Muni Meter
T503251C,NY,OMT,12/23/2016,14,4DSD,TOYOT,0930P,BX,,,WH,2013,,A 21,14-No Standing
HDU7937,NY,PAS,12/19/2016,36,SUBN,FORD,1203P,BK,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
FJS4312,NY,PAS,12/5/2016,36,SUBN,DODGE,0237P,BX,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HCP3483,NY,PAS,12/13/2016,36,4DSD,NISSA,1140A,QN,,,GY,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
18752MH,NY,COM,12/23/2016,36,VAN,CHEVR,1050A,QN,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HHG5804,NY,PAS,12/20/2016,36,4DSD,LEXUS,1002A,BX,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
EPH4304,NY,PAS,12/8/2016,36,PICK,DODGE,0835A,BK,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
T714195C,NY,OMT,12/13/2016,36,SUBN,TOYOT,0947A,BX,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GTW1758,NY,PAS,12/20/2016,21,4DSD,DODGE,0948A,K,0900A,1030A,GY,2013,,O 31,21-No Parking (street clean)
91657MC,NY,COM,12/14/2016,14,VAN,WORKH,1252P,NY,,,BROWN,2012,,43 7,14-No Standing
GZF2563,NY,PAS,12/15/2016,71,4DSD,MAZDA,1009A,Q,,,BL,2016,,J 42,71-Insp. Sticker Missing (NYS
55667ME,NY,COM,12/17/2016,78,VAN,FRUEH,0033A,K,0900P,0500A,WH,2014,,I 31,78-Nighttime PKG on Res Street
DGM4703,NY,PAS,12/16/2016,36,SUBN,CHEVR,1024A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GYC1580,NY,PAS,12/11/2016,7,4DSD,HONDA,1201P,QN,,,BL,2015,,,FAILURE TO STOP AT RED LIGHT
21475MG,NY,COM,12/8/2016,69,VAN,GMC,0113P,NY,0700A,0600P,WHITE,2015,,55 1,69-Failure to Disp Muni Recpt
GDE6579,NY,PAS,12/30/2016,14,4DSD,SUBAR,0320P,Q,,,GY,2012,,V 42,14-No Standing
HHG6060,NY,PAS,12/22/2016,36,SUBN,ME/BE,1234P,QN,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
25245MG,NY,COM,12/2/2016,42,VAN,FORD,0553P,NY,0700A,0700P,WH,2014,144-2562,09 6,42-Exp. Muni-Mtr (Com. Mtr. Z)
FJX6931,NY,PAS,12/14/2016,36,SUBN,VOLVO,1206P,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
FCA4342,NY,PAS,12/21/2016,37,SUBN,NISSA,1245P,K,0900A,0700P,GY,2016,306-3107,15 3,37-Expired Muni Meter
HGC1864,NY,PAS,12/19/2016,36,SUBN,NISSA,1101A,QN,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GLH8982,NY,PAS,12/20/2016,36,SUBN,SUBAR,0215P,QN,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
FJX5211,NY,PAS,12/23/2016,36,SUBN,JAGUA,1050A,BK,,,GR,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
FTB2276,NY,PAS,12/30/2016,21,SDN,MAZDA,1011A,K,0930A,1100A,BLUE,2012,-,,
GLC3380,NY,PAS,12/10/2016,71,SUBN,HONDA,1059A,K,,,GY,2014,,T 31,71A-Insp Sticker Expired (NYS)
EBF3085,NY,PAS,12/12/2016,37,4DSD,BMW,0246P,Q,0800A,0700P,BLACK,2013,404-3014,09 4,37-Expired Muni Meter
GKC3103,NY,PAS,12/22/2016,7,SUBN,AUDI,0126P,BK,,,WH,2015,,,FAILURE TO STOP AT RED LIGHT
76536MG,NY,COM,12/7/2016,38,VAN,FORD,1135A,NY,0800A,1100P,WH,2015,,35 1,38-Failure to Display Muni Rec
HFB3267,NY,PAS,12/27/2016,37,2DSD,FIAT,0449P,Q,0900A,0700P,RD,2015,415-2139,G 41,37-Expired Muni Meter
T708066C,NY,OMT,12/21/2016,5,4DSD,HONDA,0241P,BX,,,RD,2016,,,BUS LANE VIOLATION
77236ME,NY,COM,12/22/2016,9,VAN,FORD,0325P,NY,,,WH,2013,,99 6,09-Blocking the Box
M19ENS,NJ,PAS,12/7/2016,36,WAGO,FORD,1125A,ST,,,SL,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
52364MC,NY,COM,12/8/2016,38,VAN,FORD,0150P,NY,0900A,0700P,WHITE,2012,,45 7,38-Failure to Display Muni Rec
HDR5966,PA,PAS,12/3/2016,7,SDN,ME/BE,0414P,QN,,,,2015,,,FAILURE TO STOP AT RED LIGHT
GPL3982,NY,PAS,12/16/2016,46,SUBN,HONDA,0947A,BX,,,BR,2012,,C 22,46A-Double Parking (Non-COM)
HDW3942,NY,PAS,12/7/2016,36,4DSD,CHEVR,0852A,QN,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
FTV6365,NY,PAS,12/10/2016,19,SUBN,FORD,1028A,NY,ALL,ALL,WHITE,2016,-,,
FDE5525,NY,PAS,12/19/2016,36,SUBN,GMC,0829A,QN,,,WH,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
HAM8112,NY,PAS,12/6/2016,71,2DSD,HONDA,0639A,NY,,,RD,2013,,O 77,71A-Insp Sticker Expired (NYS)
HET6582,NY,PAS,12/17/2016,37,SUBN,BMW,0422P,BX,0900A,0700P,BK,2016,201-3024,27 2,37-Expired Muni Meter
GYX7517,NY,PAS,12/1/2016,36,SUBN,HONDA,1001A,BK,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
FDB4040,NY,PAS,12/5/2016,36,SUBN,JEEP,0850A,QN,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
40125MH,NY,COM,12/7/2016,48,REFG,NS/OT,0424P,K,,,WHITE,2016,,CC3,48-Bike Lane
HCM6778,NY,PAS,12/9/2016,36,SUBN,VOLVO,1220P,ST,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GVT6969,NY,PAS,12/8/2016,36,SUBN,ME/BE,0108P,ST,,,BK,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
T702902C,NY,OMT,12/26/2016,48,SUBN,CHEVR,0301P,K,ALL,ALL,GY,2016,-,,
GXD3310,NY,OMS,12/24/2016,20,4DSD,TOYOT,0448P,Q,0800A,0600P,GY,2015,,19 4,20A-No Parking (Non-COM)
HJE4027,NY,PAS,12/8/2016,38,SUBN,HONDA,1044A,K,0800A,0700P,GY,2016,,01 3,38-Failure to Display Muni Rec
KCR4668,PA,PAS,12/2/2016,5,SDN,TOYOT,0130P,BX,,,,2016,,,BUS LANE VIOLATION
GTL1206,NY,PAS,12/13/2016,70,SUBN,ME/BE,0926A,K,,,BK,2015,,33 3,70B-Impropr Dsply of Reg (NYS)
HEZ4732,NY,PAS,12/13/2016,36,SUBN,JEEP,1204P,BK,,,RD,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
ELC2543,NY,PAS,12/22/2016,9,SUBN,BMW,0555P,NY,,,WH,2016,,99 6,09-Blocking the Box
T711639C,NY,OMT,12/27/2016,21,SUBN,CHEVR,1152A,Q,1130A,0100P,BK,2016,,24 4,21-No Parking (street clean)
AMC1240,NY,PAS,12/6/2016,7,SUBN,HONDA,0658A,QN,,,BL,2014,,,FAILURE TO STOP AT RED LIGHT
GTK7529,NY,PAS,12/10/2016,14,4DSD,VOLKS,0534A,NY,1200A,0600A,GY,2014,,01 8,14-No Standing
CBK1463,NY,PAS,12/3/2016,40,SUBN,ACURA,0917A,Q,,,RD,2015,,M 41,40-Fire Hydrant
GWV2361,NY,PAS,12/14/2016,37,SUBN,INFIN,0103P,Q,0900A,0700P,BK,2015,422-1254,51-P,37-Expired Muni Meter
EWWC84,FL,PAS,12/9/2016,36,UT,INFIN,0436P,BK,,,GRY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
91729MC,NY,COM,12/16/2016,21,VAN,FRUEH,1221P,BX,1130A,0100P,BROWN,2013,,02 2,21-No Parking (street clean)
DRU8410,NY,PAS,12/15/2016,36,4DSD,LEXUS,0206P,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HJY9615,NY,PAS,12/20/2016,7,SUBN,MAZDA,0216P,QN,,,WH,2016,,,FAILURE TO STOP AT RED LIGHT
HEF7958,NY,PAS,12/6/2016,21,SDN,NISSA,1000A,K,0930A,1100A,BLUE,2016,-,,
AWT7481,WA,PAS,12/11/2016,7,,MAZDA,1103A,ST,,,,2015,,,FAILURE TO STOP AT RED LIGHT
FJD3412,NY,PAS,12/16/2016,37,SUBN,INFIN,0141P,K,0800A,0700P,WH,2014,340-3001,33 3,37-Expired Muni Meter
T669269C,NY,OMT,12/2/2016,36,4DSD,TOYOT,0950A,BK,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
BMC2278,NY,PAS,12/13/2016,36,SUBN,TOYOT,1228P,BK,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
EWT5923,NY,PAS,12/30/2016,38,SUBN,NISSA,0450P,Q,0900A,0700P,GY,2013,,30 4,38-Failure to Display Muni Rec
HFV2450,NY,PAS,12/20/2016,5,SUBN,JEEP,0855A,BK,,,WH,2016,,,BUS LANE VIOLATION
GWC9004,NY,OMS,12/2/2016,36,4DSD,BMW,1014A,QN,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
33430ME,NY,COM,12/20/2016,20,VAN,FRUEH,0514P,NY,0700A,0700P,WHITE,2014,,99 6,20-No Parking (Com Plate)
GLS1083,NY,PAS,12/17/2016,20,SUBN,TOYOT,0719A,BX,0600A,0500P,MR,2012,,I 22,20A-No Parking (Non-COM)
BXU8869,NY,PAS,12/3/2016,38,4DSD,BMW,0952A,K,0900A,0700P,WH,2016,,03 3,38-Failure to Display Muni Rec
CGN1268,NY,PAS,12/1/2016,46,VAN,TOYOT,1117A,BX,ALL,ALL,GY,2013,-,,
HBT2876,NY,PAS,12/13/2016,36,4DSD,BMW,1128A,BK,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HFD3262,NY,PAS,12/31/2016,38,2DSD,FIAT,0129P,K,0830A,0700P,WH,2015,,32 3,38-Failure to Display Muni Rec
60094ME,NY,COM,12/3/2016,71,VAN,FORD,0210P,K,,,WH,2014,,09 3,71A-Insp Sticker Expired (NYS)
GNV7510,NY,PAS,12/9/2016,36,4DSD,CHEVR,1235P,QN,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
T657393C,NY,OMT,12/28/2016,46,SUBN,CADIL,0415P,NY,,,BK,2015,,01 6,46A-Double Parking (Non-COM)
GJG3872,NY,PAS,12/16/2016,36,4DSD,HONDA,1159A,BK,,,GYGY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GVG2264,NY,PAS,12/9/2016,37,SUBN,SUBAR,0138P,NY,0900A,0700P,GY,2015,127-3027,60 7,37-Expired Muni Meter
17005MH,NY,COM,12/14/2016,48,VAN,FORD,0255P,NY,,,WH,2015,,C 77,48-Bike Lane
HFK6867,NY,PAS,12/19/2016,36,4DSD,SUBAR,1143A,QN,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HMJ8518,NY,PAS,12/5/2016,21,P-U,TOYOT,0928A,K,0830A,1000A,WHITE,2016,-,,
DWR5052,NY,PAS,12/8/2016,38,SUBN,TOYOT,1136A,K,0800A,0700P,BK,2015,,01 3,38-Failure to Display Muni Rec
GNV2465,NY,PAS,12/12/2016,40,SUBN,FORD,0900P,K,,,BR,2016,,G 31,40-Fire Hydrant
GZZ2064,NY,PAS,12/17/2016,38,SUBN,INFIN,0237P,Q,0900A,0700P,GY,2015,,32 4,38-Failure to Display Muni Rec
HFT4400,NY,OMS,12/12/2016,36,4DSD,DODGE,0301P,QN,,,BL,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GDT1546,NY,PAS,12/9/2016,71,4DSD,HONDA,0855A,K,,,RD,2015,,41 3,71A-Insp Sticker Expired (NYS)
27281MD,NY,COM,12/15/2016,14,REFG,ISUZU,0636A,NY,,,WH,2013,,E 17,14-No Standing
ESJ3899,NY,PAS,12/25/2016,7,4DSD,FORD,1053A,BK,,,GY,2015,,,FAILURE TO STOP AT RED LIGHT
HJF3091,NY,OMS,12/20/2016,21,SUBN,KIA,0815A,NY,0800A,0830A,WHITE,2017,-,,
36310MH,NY,COM,12/22/2016,36,VAN,FORD,0212P,BK,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HJV8683,NY,PAS,12/20/2016,74,4DSD,DODGE,1258P,BX,,,DKB,2012,,04 2,74A-Improperly Displayed Plate
3765LG,OK,PAS,12/13/2016,36,TRL,GREAT,0148P,BK,,,,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GBW3365,NY,PAS,12/13/2016,70,SUBN,JEEP,0912A,BX,,,GY,2014,,C 22,70A-Reg. Sticker Expired (NYS)
58014ME,NY,COM,12/1/2016,71,VAN,FORD,1002A,NY,,,WHITE,2015,,58,71A-Insp Sticker Expired (NYS)
EVH9097,NY,PAS,12/5/2016,37,SUBN,JEEP,0341P,Q,0900A,0700P,WH,2015,421-3058,43 4,37-Expired Muni Meter
GTC4564,NY,PAS,12/14/2016,21,SUBN,TOYOT,1105A,Q,1100A,1230P,GREY,2013,-,,
GWV7531,NY,PAS,12/16/2016,46,SUBN,ACURA,0802A,BX,ALL,ALL,BLK,2015,-,,
85987MD,NY,COM,12/29/2016,46,VAN,FRUEH,1114A,NY,,,BROWN,2015,,12 7,46B-Double Parking (Com-100Ft)
16221TC,NY,TRC,12/6/2016,14,TRAC,NS/OT,0200P,NY,,,RED,2013,,05 6,14-No Standing
FCS6206,NY,PAS,12/23/2016,21,SUBN,JEEP,1153A,K,1130A,0100P,GY,2016,,33 3,21-No Parking (street clean)
25790MJ,NY,COM,12/20/2016,16,VAN,NISSA,1254P,NY,0700A,0400P,GY,2016,,60,16-No Std (Com Veh) Com Plate
GTE3164,NY,PAS,12/21/2016,36,4DSD,KIA,1017A,QN,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
70996MH,NY,COM,12/31/2016,7,VAN,FORD,0240P,QN,,,WH,2016,,,FAILURE TO STOP AT RED LIGHT
GUX9003,NY,PAS,12/5/2016,36,PICK,TOYOT,1049A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GNX2164,NY,PAS,12/5/2016,36,2DSD,HONDA,0135P,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
DJG3184,NY,PAS,12/16/2016,36,SUBN,BMW,0215P,MN,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HGF8244,NY,PAS,12/2/2016,21,2DSD,HONDA,1148A,Q,1130A,0100P,BK,2012,,23 4,21-No Parking (street clean)
32409MJ,NY,COM,12/3/2016,85,VAN,ISUZU,0514P,Q,,,WH,2015,,V 41,85-Storage-3 hour Commercial
GZP6307,NY,OMS,12/8/2016,36,4DSD,NISSA,1201P,BK,,,BL,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
48396ME,NY,COM,12/13/2016,46,VAN,FORD,0735A,NY,ALL,ALL,WHI,2013,-,,
HHY1665,NY,PAS,12/12/2016,31,SUBN,HONDA,1045A,NY,0800A,0100P,GY,2016,,44 1,31-No Stand (Com. Mtr. Zone)
HKX9005,NY,PAS,12/10/2016,40,SUBN,HYUND,0700A,Q,,,BK,2017,,A 42,40-Fire Hydrant
28605MH,NY,COM,12/16/2016,17,VAN,FORD,1249P,NY,0700A,0700P,BROWN,2015,,46,17-No Stand (exc auth veh)
1HY952,MA,PAS,12/23/2016,36,SD,CHRYS,1243P,BK,,,,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
T896KA,NY,PAS,12/3/2016,20,4DSD,ME/BE,0247P,BX,,,BL,2015,,34 2,20A-No Parking (Non-COM)
38164MH,NY,COM,12/3/2016,38,VAN,FORD,0148P,NY,0900A,0700P,WHITE,2016,,28 7,38-Failure to Display Muni Rec
31482MD,NY,COM,12/7/2016,38,VAN,FORD,1024A,Q,0830A,0700P,WH,2013,,03 4,38-Failure to Display Muni Rec
GNK2208,NY,PAS,12/24/2016,14,4DSD,INFIN,0602P,NY,0400P,0700P,BLACK,2017,,48,14-No Standing
GHJ1242,NY,PAS,12/13/2016,40,SUBN,TOYOT,1042P,K,,,DKG,2015,,I 31,40-Fire Hydrant
24762MG,NY,COM,12/23/2016,82,VAN,JEEP,0100P,NY,,,WH,2012,,I 77,82-Unaltered Commerc Vehicle
HFT8660,NY,PAS,12/24/2016,7,4DSD,FORD,0520A,BK,,,BK,2015,,,FAILURE TO STOP AT RED LIGHT
BCN6452,NY,PAS,12/3/2016,38,4DSD,SUBAR,0522P,NY,0900A,0700P,BL,2015,,75 1,38-Failure to Display Muni Rec
FFW1270,NY,PAS,12/29/2016,71,SUBN,JEEP,0451P,Q,,,BLACK,2014,,01 4,71A-Insp Sticker Expired (NYS)
GEP1529,NY,PAS,12/15/2016,36,4DSD,CHEVR,1144A,BK,,,RD,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
14415MJ,NY,COM,12/6/2016,19,DELV,ME/BE,1004A,Q,,,WHITE,2016,,43 4,19-No Stand (bus stop)
HGR1791,NY,PAS,12/17/2016,51,4DSD,HYUND,0643A,BX,,,BL,2012,,B 22,51-Sidewalk
HGK5568,NY,PAS,12/23/2016,21,4DSD,HONDA,0751A,Q,0730A,0800A,GY,2016,,03-A,21-No Parking (street clean)
53467ME,NY,COM,12/20/2016,69,VAN,NISSA,0154P,NY,0800A,0600P,GREY,2014,,62,69-Failure to Disp Muni Recpt
HHL4086,NY,PAS,12/21/2016,21,4DSD,DODGE,0915A,Q,0830A,1000A,GY,2015,,52-A,21-No Parking (street clean)
GMK3008,NY,PAS,12/14/2016,21,SUBN,NISSA,1203P,K,1130A,0100P,BK,2014,,N 32,21-No Parking (street clean)
FPF7114,NY,PAS,12/15/2016,71,SUBN,NISSA,1037A,R,,,GY,2014,,A-AM,71A-Insp Sticker Expired (NYS)
47829MD,NY,COM,12/15/2016,19,DELV,PETER,0721A,NY,,,WHITE,2014,,C 77,19-No Stand (bus stop)
GNY6307,NY,PAS,12/4/2016,31,SDN,HONDA,0602P,NY,ALL,ALL,GREY,2012,-,,
DRJ8461,NY,PAS,12/19/2016,21,SUBN,ME/BE,0918A,Q,0830A,1000A,WH,2016,,01 4,21-No Parking (street clean)
E94GEF,NJ,PAS,12/27/2016,7,4 DR,ME/BE,0336P,ST,,,SL,2016,,,FAILURE TO STOP AT RED LIGHT
DMX6101,NY,PAS,12/9/2016,36,PICK,DODGE,0917A,BK,,,WH,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
DYB9149,NY,PAS,12/21/2016,50,4DSD,CHRYS,0940A,K,,,WH,2013,,19 3,50-Crosswalk
HCP5504,NY,PAS,12/31/2016,71,SUBN,JEEP,0118P,BX,,,GR,2016,,57 2,71A-Insp Sticker Expired (NYS)
52179MG,NY,COM,12/1/2016,69,VAN,CHEVR,1135A,NY,0900A,0700P,WH,2015,,16,69-Failure to Disp Muni Recpt
GVG5191,NY,PAS,12/3/2016,38,SUBN,HYUND,1136A,Q,0900A,0700P,GY,2015,,43 4,38-Failure to Display Muni Rec
FJG1522,NY,PAS,12/10/2016,38,4DSD,ACURA,0152P,NY,0800A,1100P,RD,2016,,31,38-Failure to Display Muni Rec
EJJ7233,NY,PAS,12/27/2016,21,SUBN,ROVER,0913A,NY,0900A,0700A,BK,2012,,23 7,21-No Parking (street clean)
DMX1342,NY,PAS,12/16/2016,46,SUBN,DODGE,0857P,K,ALL,ALL,BLK,2015,-,,
EAB7673,NY,PAS,12/16/2016,36,SUBN,JEEP,1236P,BX,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GPH8432,NY,PAS,12/3/2016,74,SUBN,NISSA,0410P,K,ALL,ALL,BROWN,2014,-,,
FMG3177,NY,PAS,12/9/2016,36,SUBN,DODGE,1011A,QN,,,WH,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
T659243C,NY,OMT,12/13/2016,36,4DSD,TOYOT,0902A,BK,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
GTY1590,NY,PAS,12/28/2016,38,4DSD,CHEVR,0133P,Q,0900A,0700P,BK,2013,,25 4,38-Failure to Display Muni Rec
HFY8636,NY,PAS,12/6/2016,20,SUBN,NISSA,0107P,BX,0700A,0600P,GY,2013,,L 21,20A-No Parking (Non-COM)
GLP8164,NY,PAS,12/22/2016,38,SUBN,DODGE,0448P,BX,0900A,0700P,GY,2015,,07 2,38-Failure to Display Muni Rec
DRJ7402,NY,PAS,12/8/2016,36,4DSD,HONDA,1132A,BK,,,RD,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
EVJ3631,NY,PAS,12/20/2016,36,SUBN,HONDA,1229P,BK,,,WH,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
HCL2093,NY,PAS,12/5/2016,38,SUBN,JEEP,0149P,K,0900A,0700P,GY,2015,,40 3,38-Failure to Display Muni Rec
GKD3681,NY,PAS,12/12/2016,37,SUBN,GMC,0235P,NY,0730A,0700P,BK,2016,132-3007,45,37-Expired Muni Meter
X346FC,NY,PAS,12/31/2016,21,4DSD,TOYOT,0809A,K,0800A,0830A,BK,2014,,W 32,21-No Parking (street clean)
GXR6099,NY,PAS,12/15/2016,5,4DSD,HYUND,0659P,BK,,,BL,2015,,,BUS LANE VIOLATION
ENF5240,NY,PAS,12/6/2016,36,SUBN,TOYOT,1116A,BK,,,DKGY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
FHV4850,NY,PAS,12/9/2016,21,SUBN,BMW,0900A,Q,0830A,1000A,BK,2016,,28 4,21-No Parking (street clean)
T719117C,NY,OMT,12/13/2016,36,SUBN,CHEVR,1221P,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
P329KG,NY,PAS,12/21/2016,9,SUBN,JEEP,0408P,NY,,,BL,2012,,04 6,09-Blocking the Box
GTS8645,NY,PAS,12/9/2016,36,SUBN,HONDA,1220P,QN,,,GY,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
ETB1532,NY,PAS,12/3/2016,71,4DSD,HONDA,1018A,R,,,BLUE,2015,,03-P,71A-Insp Sticker Expired (NYS)
GUZ2363,NY,PAS,12/15/2016,70,4DSD,HONDA,0252P,K,,,GY,2014,,32 3,70A-Reg. Sticker Expired (NYS)
S95GXX,NJ,PAS,12/16/2016,36,4 DR,HONDA,0831A,QN,,,BL,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HAP3238,NY,PAS,12/19/2016,36,SUBN,CHEVR,0323P,BK,,,BL,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HFB1373,NY,PAS,12/23/2016,37,SUBN,FORD,0557P,NY,0900A,0700P,WH,2016,102-3082,77 1,37-Expired Muni Meter
HDW2904,NY,PAS,12/15/2016,20,4DSD,HONDA,0933A,R,,,BK,2012,,C-AM,20A-No Parking (Non-COM)
FGV9032,NY,PAS,12/7/2016,36,SUBN,HONDA,0220P,QN,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GHV3897,NY,PAS,12/22/2016,7,4DSD,VOLVO,0407A,BK,,,BK,2014,,,FAILURE TO STOP AT RED LIGHT
GSM5302,NY,PAS,12/7/2016,19,SUBN,KIA,0340P,Q,,,WHITE,2017,,CC1,19-No Stand (bus stop)
GHU8672,NY,PAS,12/14/2016,36,SUBN,HONDA,1131A,QN,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HCS3999,NY,PAS,12/7/2016,71,SUBN,HONDA,0450P,Q,,,GY,2015,,03 4,71A-Insp Sticker Expired (NYS)
GYX4491,NY,PAS,12/13/2016,21,SUBN,JEEP,1140A,K,1130A,0100P,GY,2015,-,,
FWT2463,NY,PAS,12/13/2016,38,4DSD,NISSA,0458P,K,0800A,0700P,BLACK,2015,,25 3,38-Failure to Display Muni Rec
AX9035,NY,PSD,12/2/2016,36,4DSD,TOYOT,0102P,BK,,,BL,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HCM6156,NY,OMS,12/12/2016,14,2DSD,NS/OT,0551P,Q,0400P,0700P,WHITE,2016,,O 42,14-No Standing
HLM4885,NY,PAS,12/21/2016,36,SUBN,SUBAR,1232P,BK,,,WH,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
FRA1047,NY,PAS,12/2/2016,36,SUBN,NISSA,0923A,QN,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
68319JZ,NY,COM,12/8/2016,9,VAN,CHEVR,0858A,NY,,,WH,2015,,99 6,09-Blocking the Box
HFB2252,NY,PAS,12/1/2016,16,4DSD,HONDA,0458P,NY,0800A,0600P,BK,2014,,O 77,16A-No Std (Com Veh) Non-COM
HGM9009,NY,PAS,12/1/2016,36,4DSD,HYUND,0313P,QN,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
Y993KY,NY,PAS,12/8/2016,36,4DSD,NISSA,1211P,QN,,,BL,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
